Source,Target,Weight
634747,1527843,87873
1601705,957142,1772
190409,957142,166029
544348,957142,49
126550,957142,1356
252145,957142,58815
631419,957142,1655029
538127,957142,20634
957142,530280,75
957142,126550,34802
957142,544348,1944
957142,538127,105365
957142,343726,7224
957142,1601705,9612
957142,1219086,913
957142,1378110,1464
957142,190409,1125057
957142,252145,3283054
1386171,548414,74448
548414,1382789,56
548414,246143,154
548414,190409,17134
548414,1378110,929
548414,399324,182
548414,1236445,61
1425705,35289,370108
190409,663969,90480
502609,663969,279
538127,663969,4261
663969,502609,15763
663969,813589,1044
663969,538127,68736
663969,380056,205
663969,190409,1418608
1382789,344956,16
344956,439456,854
344956,598475,1653
344956,530280,279
344956,190409,454862
344956,1219086,2212
344956,35289,2829
344956,1286017,4629
344956,1382789,18250
1232643,734537,138
3397,1601705,24
3397,1380868,774
3397,542907,28
3397,274932,203
3397,522593,15
3397,389306,214
3397,750859,255
3397,1399267,148
3397,1236445,176
3397,1422627,424
3397,1382789,18
3397,411990,22405
721947,284173,2787
284173,813589,306
284173,1343860,1653
284173,538127,2917
284173,389306,106
284173,4285,84739
284173,190409,73878
284173,411990,5451
284173,105004,26
1386171,1389227,1111
1399267,1389227,60
274932,1389227,939
340814,1389227,89316
190409,1389227,53643
971321,1389227,14480
750859,1389227,446
950064,1389227,7596
1389227,61403,1894
1389227,598475,1017
1389227,750859,4894
1389227,1601705,1167
1389227,439456,1341
1389227,380056,127
1389227,1124667,6011
1389227,1399267,1834
1389227,274932,1250
1389227,78485,359825
1389227,340814,6846
1389227,1286017,8600
1389227,190409,11760963
1389227,971321,95888
1389227,950064,8932
1389227,1422627,290125
439456,1024107,111
190409,475236,2685
475236,35289,300
475236,1343860,3811
475236,190409,760064
475236,1219086,27826
604135,542907,9
604135,190409,108442
1527843,714616,3227
714616,813589,12
714616,1527843,4898
714616,912653,46
714616,190409,99891
1527843,1037279,192
1037279,498017,687
1037279,1378110,405
1037279,380056,58
1037279,1382789,217
1037279,190409,115564
1285458,873534,32
873534,1378110,103
1601705,1421882,100
190409,1421882,20607
1421882,274932,99
1421882,598475,657
1421882,640311,1163
1421882,1601705,1449
1421882,389306,3610
1421882,1286017,3986
1421882,1219086,913
1421882,190409,1709280
1421882,1382789,3487
1421882,411990,99199
504415,671806,8
504415,1124667,432
504415,1527843,127
504415,190409,21659
504415,246143,3260
1399267,490469,154
1382789,490469,107
246143,490469,1440
190409,490469,759
490469,143755,25
490469,1133504,808
490469,1124667,265
490469,912653,2144
490469,380056,1471
490469,1399267,5338
490469,1382789,4189
490469,246143,36361
490469,190409,2241934
490469,1422627,38954
490469,1334686,3523
97860,803713,539
1386171,803713,959
251681,803713,20582
1399267,803713,476
190409,803713,17069
1422627,803713,704
803713,274932,822
803713,1082681,108830
803713,97860,56299
803713,251681,398500
803713,575363,17412
803713,542907,588
803713,343726,14329
803713,1382789,2407
803713,1219086,517
803713,1334686,346
803713,1236445,2556
803713,246143,55194
803713,1422627,42845
803713,1399267,15553
803713,190409,760986
38177,1527843,386
38177,190409,72963
38177,1124667,994
391175,105004,2924
391175,190409,22446
1386171,1452907,73717
343726,1452907,35
190409,1452907,2000
721947,1452907,663
709934,1452907,96409
1074961,1452907,721267
166461,1452907,2534627
1452907,721947,3209
1452907,97860,71
1452907,750859,21
1452907,1232643,171
1452907,1387865,72
1452907,709934,195658
1452907,380056,120
1452907,411990,6894
1452907,538127,35402
1452907,907767,621
1452907,343726,4377
1452907,1399267,3665
1452907,190409,3876249
1452907,1082681,11190223
1452907,166461,11741646
1386171,877247,6152
190409,877247,2265
877247,750859,102
877247,530280,80
877247,598475,109
877247,1082681,28432323
877247,575363,7268
877247,813589,1015
877247,380056,96
877247,274932,1240
877247,1343860,139500
877247,542907,72
877247,190409,1538278
877247,1601705,140
877247,1422627,7255
877247,411990,8222
1601705,588973,273
411990,588973,2296
971321,588973,8604
721947,588973,13608
588973,721947,12867
588973,1601705,2537
588973,1382789,4734
588973,971321,58174
588973,411990,290931
190409,641799,68378
1399267,641799,764
575363,641799,8506
641799,190409,1797442
641799,635384,37327
641799,1399267,9071
641799,912653,2737
641799,575363,256506
1399267,668846,19
190409,668846,3791
452998,668846,3157
538127,668846,2342
668846,1232643,90
668846,1399267,1631
668846,538127,30265
668846,452998,327380
668846,1378110,538
668846,190409,1209650
190409,270422,768917
270422,1575234,429
270422,1232643,156
270422,813589,4726
270422,274932,1104
270422,190409,1811099
519191,380056,53
519191,849535,2144
519191,439456,6
519191,1378110,185
519191,190409,39004
519191,1422627,2144
519191,105004,191
1485118,538127,1977
1485118,631419,348
1485118,190409,71538
343726,1398235,132
1386171,1398235,1618
912653,1398235,46
190409,1398235,5867
97860,1398235,186
575363,1398235,423
1232643,1398235,496
166461,1398235,103433
1398235,1124667,265
1398235,884796,99810
1398235,166461,550756
1398235,343726,679
1398235,1232643,2845
1398235,1026062,994
1398235,912653,5598
1398235,190409,1823763
1398235,575363,29430
1398235,97860,16175
1266638,1286017,30
1266638,190409,26012
190409,588141,17044
502609,588141,94
971321,588141,3454
588141,1124667,4
588141,380056,77
588141,502609,19852
588141,522593,201
588141,389306,3610
588141,1232643,5883
588141,971321,135438
588141,813589,770
588141,190409,1265655
1386171,1188552,22130
575363,1188552,1619
252145,1188552,4561
61403,1188552,22
918774,1188552,277
1188552,1082681,13146051
1188552,522593,35
1188552,918774,3539
1188552,1399267,613
1188552,252145,296943
1188552,1286017,282
1188552,575363,19752
1188552,190409,1332494
1188552,1422627,57614
1188552,411990,16006
1188552,1219086,1318
1188552,1134113,290
1188552,1378110,3768
1188552,61403,15995
41009,926931,2
1399267,926931,488
190409,926931,150
380056,926931,22
926931,41009,376
926931,380056,582
926931,1286017,123
926931,1399267,10226
926931,190409,394997
926931,1422627,11684
926931,1378110,2422
190409,738207,438
380056,738207,40
738207,380056,2329
738207,721947,34936
738207,813589,483
738207,190409,773375
190409,529738,149290
575363,529738,1567
529738,452998,111806
529738,575363,118153
529738,813589,2248
529738,190409,1858242
529738,1236445,104534
529738,399324,16678
190409,189744,1986
1343860,189744,3104
918774,189744,7580
189744,544348,454
189744,1170007,62227
189744,1219086,4798
189744,1601705,150
189744,918774,72356
189744,1399267,9846
189744,78485,85176
189744,190409,6835329
189744,1343860,234036
1386171,1079617,106215
190409,1079617,17279
399324,1079617,95
1079617,380056,839
1079617,1582829,31061
1079617,190409,519815
1079617,399324,13497
485167,1334686,30
485167,190409,6162
184850,492765,44
184850,190409,67285
528416,1232643,1133
528416,190409,166074
528416,97860,350
528416,137057,351
1386171,1058077,19971
1058077,912653,42
1058077,380056,46
1058077,1399267,174
1058077,71453,156
1058077,190409,6974
190409,1011977,3415
411990,1011977,845
1011977,274932,20
1011977,190409,270649
1011977,971321,5380
1011977,912653,1735
1011977,389306,2055
1011977,411990,73111
1011977,538127,420
81993,1124667,551
81993,530280,96
81993,35289,4000
81993,4285,1094
81993,190409,47327
81993,1422627,61
81993,137057,7040
81993,97860,26
81993,105004,219957
1386171,1559672,25955
190409,1559672,129307
252145,1559672,74514
1559672,380056,665
1559672,598475,362
1559672,252145,288
1559672,1124667,3074
1559672,1541442,184203
1559672,813589,3270
1559672,389306,3825
1559672,190409,2540879
1559672,1422627,5875
1561208,1422627,12825
287367,126550,37052
287367,1170007,2278
287367,912653,39
287367,1382789,75
287367,1134113,1000
287367,190409,55395
621025,190409,37759
621025,399324,141
517412,538127,199
517412,380056,73
517412,190409,44190
517412,411990,8846
517412,1382789,172
97860,65401,266
190409,65401,18780
721947,65401,32861
65401,97860,6909
65401,598475,1135
65401,907767,1192
65401,721947,36062
65401,1236445,3188
65401,35289,87
65401,542907,126
65401,575363,198797
65401,1232643,1883
65401,246143,30425
65401,1436072,893
65401,190409,742527
65401,166461,66512
1386171,1401592,52898
190409,1401592,3559007
640311,1401592,1333
1401592,439456,2214
1401592,141869,38384
1401592,97860,3598
1401592,411990,218703
1401592,190409,3360956
1401592,380056,1341
1401592,907767,1824
240355,336204,256421
336204,190409,183169
336204,240355,51
336204,1399267,3216
849535,812857,5155
812857,439456,2797
812857,912653,156
812857,813589,7156
812857,1236445,720
812857,1272999,1578
812857,599909,746
812857,1422627,5797
812857,849535,19840
1386171,569011,96109
190409,569011,6712
631419,569011,332211
569011,190409,803042
569011,538127,8711
1609998,671806,865
1609998,35289,1276
1609998,1124667,11743
1609998,1086635,4393
1386171,1394345,55549
659801,1394345,2361
1074961,1394345,3137
1394345,1026062,236
1394345,1232643,1463
1394345,246143,4182
1394345,97860,536
1394345,912653,168
1394345,1411529,36482
1394345,1074961,5067
1394345,542907,27
1394345,1422627,347
1394345,1272999,477
1394345,389306,237
1394345,1170007,3043
1394345,190409,87603
1386171,558845,314715
439456,558845,5779
274932,558845,7423
190409,558845,1363294
640311,558845,466
105004,558845,9
380056,558845,73
502609,558845,264
750859,558845,28
558845,598475,15931
558845,105004,13569
558845,530280,7937
558845,251681,26040
558845,502609,5664
558845,640311,8343
558845,1286017,28233
558845,439456,119512
558845,750859,2581
558845,1382789,4271
558845,498017,116451
558845,813589,3339
558845,274932,37062
558845,190409,2254699
558845,380056,1482
558845,1422627,24552
1272999,1504787,1824
97860,1504787,408
190409,1504787,14383
380056,1504787,151
721947,1504787,4849
71453,1504787,38
166461,1504787,33785
1504787,380056,151
1504787,907767,1524
1504787,549605,286
1504787,721947,55443
1504787,1232643,1367
1504787,1219086,2233
1504787,575363,212989
1504787,1272999,39010
1504787,97860,26740
1504787,141869,46079
1504787,71453,24451
1504787,1399267,1924
1504787,35289,929
1504787,190409,572716
1504787,1436072,884
1504787,166461,167491
1504787,1382789,3584
190409,810333,14579
810333,1236445,82
810333,1382789,8
810333,1601705,31
810333,522593,25
810333,389306,190
810333,1380868,3644
810333,1219086,1329
810333,813589,274
810333,190409,8514099
810333,137057,377844
1386171,405815,219
1454908,405815,17
971321,405815,1730
405815,380056,1039
405815,1236445,2357
405815,1124667,963
405815,1454908,436
405815,813589,1745
405815,971321,17346
405815,190409,144459
1386171,537607,7399
439456,537607,5208
190409,537607,88880
640311,537607,8580
141869,537607,3249
537607,380056,86
537607,97860,461
537607,1334686,3131
537607,1026062,263
537607,1582829,3885
537607,1541442,7422
537607,522593,770
537607,274932,155
537607,1399267,252
537607,141869,127057
537607,439456,78067
537607,640311,60147
537607,190409,495470
537607,813589,1795
1386171,87366,26615
190409,87366,9000
87366,274932,18
87366,1399267,4518
87366,190409,1663674
721947,732617,4679
137447,732617,1123
732617,489273,210176
732617,274932,51
732617,538127,550
732617,1334686,18
732617,190409,38786
721336,1124667,21
721336,190409,58878
721336,35289,228
721336,1170007,281
97860,28179,840
1527843,28179,13938
1386171,28179,20742
1382789,28179,221
71453,28179,291
28179,38857,773
28179,530280,150
28179,598475,299
28179,1232643,886
28179,97860,4845
28179,1527843,75776
28179,631419,100
28179,141869,144494
28179,1124667,1353
28179,912653,1082
28179,190409,31820
28179,71453,31912
28179,1382789,2951
1268605,1334686,16
1268605,411990,2832
1268605,190409,28778
1400703,143755,91
1400703,252145,198684
1400703,439456,78
1400703,1124667,299
1400703,190409,127
1400703,1527843,2325
1527843,463362,12658
190409,463362,1185
252145,463362,41860
631419,463362,595248
463362,907767,120
463362,1527843,132976
463362,1272999,3420
463362,1382789,3467
463362,73083,1357
463362,1399267,2431
463362,97860,104
463362,1124903,2426
463362,126550,5141
463362,190409,270810
463362,252145,3202421
1399267,961711,2091
1386171,961711,28255
190409,961711,15959
1378110,961711,122
961711,1399267,9301
961711,240642,2044
961711,190409,2573286
961711,1378110,13278
1386171,395607,1822
1236445,395607,96414
190409,395607,1091472
1134113,395607,6325
395607,380056,2209
395607,598475,345
395607,813589,1849
395607,1236445,29379
395607,1134113,168113
395607,542907,574
395607,912653,105
395607,190409,709468
1386171,108662,140495
240642,108662,105534
190409,108662,13883
599909,108662,664
61403,108662,17600
1134113,108662,1145
108662,61403,23091
108662,531711,5704
108662,1134113,8472
108662,599909,34873
108662,240642,24260
108662,849535,56420
108662,190409,2272509
1386171,426661,11983
426661,1124667,944
426661,813589,952
426661,1236445,1619
426661,190409,154836
426661,380056,875
947727,190409,109456
947727,380056,53
1386171,1567319,573481
190409,1567319,9704
1567319,522593,177
1567319,343726,2143
1567319,912653,753
1567319,813589,438
1567319,190409,970657
420681,538127,830
420681,1124667,549
420681,190409,86629
420681,452998,180
420681,1378110,251
420681,399324,141
420681,411990,2935
190409,144534,14354
1049032,144534,1959
144534,813589,410
144534,1049032,13212
144534,190409,11035436
79457,190409,44333
79457,750859,136
1386171,1083462,14415
575363,1083462,12241
1083462,190409,113511
1083462,1219086,830
1083462,575363,150418
1083462,97860,144
1083462,1382789,2986
1083462,813589,1017
1083462,1286017,8967
1083462,1436072,125
190409,337312,1000
337312,950064,370
337312,97860,102
337312,752755,27379
337312,671806,5413
337312,1232643,7009
337312,190409,926820
337312,813589,1004
97860,1150450,276
750859,1150450,187
631419,1150450,1164
918774,1150450,794
1150450,598475,672
1150450,750859,6491
1150450,274932,286
1150450,97860,3230
1150450,918774,19598
1150450,992968,281226
1150450,1124667,2738
1150450,1286017,16608
1150450,1236445,3810
1150450,631419,112022
1150450,1422627,76372
1150450,640311,1670
1386171,1432548,72812
721947,1432548,112837
1432548,190409,36452
1432548,274932,68
1432548,912653,2030
1432548,1272999,1278
1432548,452998,89040
1432548,721947,10604
442802,538127,910
442802,411990,733
442802,190409,169
252145,114889,13723
166461,114889,28301
114889,1082681,4145
114889,1601705,70
114889,575363,10101
114889,190409,20070
114889,166461,408724
114889,813589,435
114889,252145,464249
806038,1286017,90
806038,190409,32254
806038,813589,695
1048421,190409,46063
1048421,1378110,179
1048421,452998,77
1386171,1064851,34489
439456,1064851,2194
1601705,1064851,92
190409,1064851,121775
1086635,1064851,1016
750859,1064851,135
631419,1064851,146
549605,1064851,10967
918774,1064851,38
166461,1064851,255407
1064851,166461,148124
1064851,380056,104
1064851,750859,1236
1064851,907767,1541
1064851,918774,21345
1064851,343726,5748
1064851,950064,36
1064851,439456,87243
1064851,1601705,138510
1064851,631419,1990
1064851,1086635,10172
1064851,389306,3610
1064851,575363,22784
1064851,489273,3847067
1064851,190409,3611672
1064851,813589,469
1064851,1382789,4969
1064851,549605,678931
1451096,1422627,55
